Specimen.ID,born,died,treatment,diet,weight
#92151,484,1641,treated,control,16
#92035,297,1510,treated,treated,15
#91718,550,1798,treated,control,17
#90418,401,1589,control,control,17
#94983,828,2069,treated,control,23
#93481,1044,2241,control,control,17
#92210,238,1389,treated,treated,15
#92086,454,1663,treated,treated,18
#91706,351,1533,treated,control,22
#92046,276,1494,control,control,17
#91639,553,1724,treated,treated,24
#99177,150,1327,control,control,20
#93367,418,1623,treated,control,15
#97634,1014,2228,control,treated,19
#93061,1019,2174,control,control,22
#92606,884,2080,treated,treated,24
#95341,641,1862,control,control,21
#93075,599,1848,treated,treated,16
#99528,982,2215,control,control,16
#97253,196,1384,treated,control,20
#96373,836,2073,treated,treated,24
#92756,685,1890,control,control,15
#91818,935,2127,treated,treated,20
#97691,961,2189,control,control,20
#90092,73,1297,treated,control,23
#97761,17,1182,treated,control,16
#96331,502,1745,treated,control,23
#90640,499,1670,treated,control,20
#93231,622,1816,control,treated,22
#98168,481,1681,treated,control,19
#97160,182,1381,treated,treated,24
#95121,913,2087,treated,treated,19
#99586,556,1728,control,treated,16
#90057,411,1617,control,treated,23
#96877,664,1847,treated,treated,15
#91222,811,1996,treated,control,24
#99830,704,1933,treated,control,20
#93845,536,1746,control,treated,23
#98769,529,1763,treated,control,20
#93747,752,1998,control,treated,19
#95278,938,2090,treated,treated,22
#91818,106,1322,control,treated,15
#91848,778,1929,control,control,20
#93566,45,1279,treated,treated,21
#94834,28,1235,treated,treated,22
#94264,132,1335,control,control,18
#93173,716,1949,treated,control,24
#92858,152,1357,treated,treated,22
#92794,1005,2238,control,control,20
#98274,474,1627,treated,control,16
#94907,433,1614,control,control,23
#99039,264,1426,control,treated,22
#95399,480,1689,treated,treated,15
#99636,131,1310,treated,treated,22
#91797,795,2031,treated,control,20
#96016,752,1954,treated,treated,19
#98079,626,1823,treated,treated,21
#96105,838,2062,control,control,24
#92781,182,1431,control,treated,23
#93655,660,1810,control,treated,19
#92347,110,1287,control,control,18
#99425,1023,2253,treated,treated,24
#91105,665,1861,treated,treated,17
#94887,768,2017,control,control,17
#97868,788,1959,treated,treated,17
#90029,169,1319,treated,treated,24
#94247,972,2138,control,treated,20
#98102,184,1402,control,treated,17
#93471,402,1575,control,control,23
#94116,365,1596,treated,control,15
#96127,954,2104,control,treated,20
#95761,137,1296,control,control,21
#97159,959,2189,treated,control,16
#93327,384,1584,control,treated,22
#97326,921,2079,treated,treated,19
#98606,591,1764,treated,treated,18
#91077,148,1366,control,treated,22
#99699,858,2023,control,control,22
#92519,766,1936,control,treated,22
#94612,802,2025,treated,control,20
#90476,998,2183,control,treated,15
#95295,223,1426,treated,control,20
#93529,158,1345,treated,control,19
#93018,293,1472,treated,treated,19
#94774,622,1850,treated,control,22
#98372,758,1996,treated,control,23
#98777,784,1995,control,control,20
#94763,630,1864,control,treated,17
#90807,418,1572,control,treated,21
#98694,1043,2225,treated,control,23
#98793,454,1667,control,control,15
#93194,742,1927,treated,control,17
#94422,648,1825,control,control,17
#99876,1089,2283,control,treated,15
#98776,999,2201,control,control,23
#97486,474,1669,treated,treated,15
