Specimen.ID,born,died,treatment,diet,weight
#91726,534,1728,treated,control,22
#95095,643,1837,control,control,16
#99405,1070,2255,treated,control,24
#90937,206,1407,control,treated,16
#93063,554,1799,control,treated,16
#91672,495,1647,control,treated,18
#90428,983,2143,control,treated,17
#90364,515,1738,control,control,19
#99721,31,1247,control,treated,17
#90920,1080,2296,control,treated,20
#90200,482,1681,control,treated,22
#94112,395,1594,control,control,21
#91790,106,1351,control,control,22
#94941,545,1702,treated,treated,21
#97823,970,2205,control,control,22
#92724,430,1615,treated,control,21
#93897,761,1982,control,control,21
#91376,841,2034,treated,control,17
#95233,368,1569,treated,control,21
#91662,1075,2310,control,control,18
#98036,550,1751,treated,control,24
#91838,149,1348,treated,control,16
#95098,1071,2246,control,treated,20
#94559,60,1309,treated,control,21
#94461,910,2082,control,control,17
#91736,861,2047,control,treated,18
#99299,655,1839,treated,treated,19
#91657,510,1715,treated,control,19
#97255,989,2229,control,control,24
#91960,44,1252,treated,control,20
#90782,361,1561,control,control,21
#95784,381,1540,control,treated,24
#98895,683,1839,treated,treated,17
#91769,804,1991,treated,treated,16
#94021,937,2166,treated,control,24
#94034,448,1601,control,control,18
#92876,508,1692,control,control,22
#96282,289,1482,treated,treated,17
#97286,749,1904,treated,treated,15
#95634,20,1196,control,treated,18
#99423,975,2218,treated,treated,15
#99203,743,1905,control,control,16
#96278,967,2207,control,treated,21
#99482,989,2225,control,control,23
#97763,44,1271,control,control,24
#91338,941,2121,control,control,18
#90085,105,1343,treated,control,19
#97811,309,1481,treated,control,24
#93538,682,1837,treated,control,16
#94015,43,1221,treated,control,22
#96731,327,1542,control,treated,23
#93185,90,1314,control,treated,24
#91619,740,1980,control,control,17
#92218,780,1961,control,treated,19
#99906,1083,2250,control,control,20
#90998,282,1523,control,control,20
#90614,90,1304,treated,treated,18
#95761,978,2173,control,control,24
#91195,168,1383,treated,treated,16
#99209,965,2145,control,treated,23
#93259,290,1495,treated,treated,21
#90515,454,1693,treated,control,20
#91588,199,1441,treated,treated,16
#90927,237,1425,treated,control,19
#96955,387,1608,control,treated,20
#91261,859,2023,treated,treated,15
#98930,456,1608,control,treated,18
#94898,971,2171,control,treated,17
#99720,506,1741,control,treated,15
#97862,929,2130,control,treated,24
#95902,390,1566,treated,treated,17
#99847,271,1422,treated,control,17
#92817,159,1396,treated,treated,16
#91962,269,1496,treated,treated,15
#90568,348,1569,treated,control,24
#99761,332,1571,treated,treated,16
#90745,650,1857,control,control,23
#98409,1018,2212,control,control,18
#99792,859,2059,treated,treated,15
#97384,270,1486,control,control,20
#93835,775,1927,control,treated,16
#91402,244,1479,treated,control,19
#99801,327,1486,control,treated,17
#90881,928,2100,control,control,16
#93869,385,1622,treated,treated,16
#97027,1093,2314,control,treated,20
#94751,572,1776,treated,treated,19
#99069,773,2020,control,treated,20
#97494,530,1762,treated,control,22
#93892,833,2064,control,treated,21
#95259,901,2122,control,treated,23
#92425,1035,2202,control,treated,21
#91182,450,1643,control,control,19
#99370,492,1648,control,treated,21
#99137,967,2209,treated,treated,24
#96533,16,1189,treated,control,22
#90498,259,1490,control,treated,21
#94652,861,2042,treated,control,23
#96282,161,1331,control,control,24
#94218,581,1829,control,treated,21
#92490,950,2145,treated,control,16
#90019,1065,2272,treated,control,17
#99114,684,1929,control,treated,22
#98982,260,1430,treated,treated,17
#93203,486,1703,treated,treated,15
#91468,106,1283,control,treated,23
#97705,924,2090,treated,treated,15
#97468,614,1817,treated,treated,19
#99061,1079,2239,control,control,17
#91863,702,1947,control,control,15
#91103,892,2076,control,treated,18
#98383,41,1232,control,control,21
#95112,196,1370,treated,control,15
#98862,437,1654,control,treated,24
#91516,174,1372,control,control,21
#90321,972,2177,treated,control,18
#90274,169,1332,treated,control,18
#90436,486,1734,control,treated,15
#91116,330,1488,treated,control,15
#92122,701,1877,treated,treated,22
#92132,658,1876,control,control,21
#97780,402,1614,control,treated,20
#93078,461,1662,control,treated,19
#98509,850,2038,control,control,18
#93495,703,1920,control,treated,17
#98508,934,2134,control,control,22
#98601,20,1264,treated,treated,22
#98144,904,2078,treated,control,18
#92983,606,1762,treated,control,15
#93894,388,1574,control,treated,23
#90827,604,1756,treated,control,16
#94125,710,1909,control,treated,20
#91508,62,1239,treated,treated,23
#98162,274,1469,treated,treated,17
#94861,311,1462,treated,treated,20
#97068,244,1475,control,control,24
#97195,1009,2206,control,treated,15
#96601,131,1299,control,treated,23
#92382,307,1542,treated,treated,24
#97143,227,1448,control,control,19
#97926,1,1165,control,control,21
#98752,293,1535,treated,treated,16
#94335,732,1916,treated,treated,21
#92378,182,1388,treated,control,22
#93600,813,1976,control,control,18
#97191,427,1674,control,control,23
#98784,116,1266,treated,treated,19
#97673,539,1763,treated,treated,19
#97493,353,1571,treated,control,15
#92365,393,1553,treated,control,18
#94680,433,1679,control,control,21
#91594,459,1682,treated,treated,21
#91496,1074,2224,treated,control,16
#94841,391,1587,treated,control,21
#91888,756,1955,treated,control,15
#92503,498,1720,treated,treated,16
#97810,362,1593,treated,treated,20
#92668,207,1361,treated,treated,20
#96104,544,1711,control,control,15
#97037,447,1676,control,control,18
#98805,338,1543,treated,control,22
#91391,379,1627,treated,treated,19
#94271,44,1260,treated,control,23
#94728,955,2116,treated,control,19
#93685,788,1952,control,control,17
#94313,1092,2340,control,treated,19
#96986,575,1777,treated,control,16
#93422,331,1580,control,treated,16
#91964,146,1311,treated,control,19
#94647,1056,2265,treated,treated,19
#92056,208,1404,control,control,24
#96078,197,1358,treated,treated,19
#95216,399,1605,control,control,16
#95293,885,2042,control,control,20
#99931,1049,2216,control,treated,24
#98978,332,1580,control,treated,16
#92228,131,1349,treated,treated,16
#98588,334,1536,treated,treated,17
#91364,221,1468,control,treated,18
#97401,954,2115,treated,control,18
#97046,527,1773,control,control,23
#91246,120,1331,control,treated,21
#99938,928,2131,control,control,24
#92132,747,1920,treated,treated,21
#97628,727,1894,treated,control,23
#99696,734,1927,control,control,19
#91226,288,1479,treated,treated,20
#98519,389,1582,control,treated,18
#96787,580,1767,control,control,19
#98734,795,1976,control,treated,22
#95221,25,1202,control,control,15
#97248,756,1989,treated,treated,19
#99255,1027,2233,treated,control,15
#98863,790,1962,treated,treated,17
#96372,645,1826,control,treated,20
#91067,1035,2247,treated,control,16
#98622,980,2181,treated,treated,17
#95687,949,2103,treated,control,16
#95803,844,2085,control,control,17
#97115,549,1796,treated,control,22
#99094,991,2183,control,treated,22
#95078,597,1760,control,treated,24
#98397,733,1927,treated,treated,21
#90994,707,1953,control,treated,24
#93628,382,1619,control,treated,16
#90290,1064,2235,treated,control,23
#97587,1064,2263,treated,control,24
#95850,649,1832,control,treated,19
#98462,1014,2178,control,treated,20
#91925,303,1513,treated,treated,18
#93684,912,2124,treated,treated,23
#93494,555,1727,control,treated,17
#96048,20,1238,control,control,17
#90138,191,1425,control,control,15
#94324,236,1401,control,treated,17
#94792,224,1427,treated,treated,16
#92132,555,1753,control,control,19
#91206,55,1256,treated,control,17
#93907,331,1482,treated,treated,19
#98585,951,2141,treated,treated,22
#94646,620,1824,control,control,22
#96812,824,2006,control,treated,18
#91989,442,1669,treated,treated,15
#92706,445,1602,treated,treated,22
#99441,550,1761,control,treated,17
#91921,172,1352,control,control,18
#96492,1019,2265,treated,control,20
#91617,301,1521,control,treated,17
#95750,851,2078,control,control,15
#99055,636,1840,treated,treated,18
#96451,708,1929,control,treated,21
#92430,571,1728,treated,treated,24
#95543,204,1369,control,control,23
#93721,289,1520,treated,treated,18
#93891,1003,2218,treated,treated,16
#95194,893,2051,control,control,23
#91459,182,1376,control,treated,19
#92182,247,1475,control,control,22
#97196,302,1511,treated,treated,15
#96916,212,1432,control,control,18
#92791,142,1346,treated,control,17
#91232,506,1752,treated,control,17
#94769,512,1718,treated,treated,20
#92432,50,1293,treated,treated,19
#97299,339,1540,treated,treated,24
#97010,174,1414,treated,treated,17
#97206,175,1403,treated,control,22
#93628,532,1713,control,control,17
#90935,927,2160,control,treated,15
#97925,1054,2287,control,treated,17
#92071,478,1717,control,control,17
#93654,613,1798,control,control,24
#91412,850,2077,treated,treated,15
#92701,106,1266,control,control,20
#97872,551,1745,treated,control,20
#94257,239,1434,control,treated,21
#97958,889,2044,control,control,16
#90530,511,1662,control,control,19
#93183,796,1953,treated,control,20
#96618,467,1688,treated,control,17
