"Specimen.ID","born","died","treatment","diet","weight","lifespan"
"#37153",0,1250,"control","treated",13.40928717,1250
"#71803",0,1242,"control","treated",18.83898225,1242
"#12840",0,1248,"control","control",11.84457021,1248
"#69438",0,1240,"control","control",17.09329538,1240
"#98930",0,1240,"treated","control",19.27284036,1240
"#66820",0,1285,"control","treated",19.65061208,1285
"#43660",0,1253,"treated","control",16.42656142,1253
"#18999",0,1298,"control","control",12.50732311,1298
"#19200",0,1240,"treated","control",18.66777162,1240
"#45897",0,1235,"treated","treated",16.35452805,1235
"#58147",7,1297,"control","treated",10.89314241,1290
"#5855",8,1239,"control","control",10.33378107,1231
"#69481",9,1259,"control","treated",16.5379776,1250
"#75447",22,1284,"treated","treated",12.31170473,1262
"#4806",26,1323,"control","treated",16.09901989,1297
"#5658",29,1234,"treated","control",18.3416951,1205
"#45849",31,1235,"control","control",15.8619014,1204
"#94110",34,1261,"control","treated",14.75424569,1227
"#58944",41,1257,"treated","control",12.96637504,1216
"#55895",45,1335,"control","control",13.13465478,1290
"#81248",46,1246,"control","control",16.63792466,1200
"#45969",48,1269,"treated","control",11.12932891,1221
"#32629",50,1285,"control","treated",17.20720772,1235
"#68518",51,1297,"control","control",14.98222862,1246
"#33216",51,1325,"treated","control",19.25578981,1274
"#91556",51,1315,"treated","treated",16.99314742,1264
"#11326",52,1279,"treated","treated",10.87716457,1227
"#99298",52,1256,"control","treated",15.4139005,1204
"#28842",54,1279,"treated","control",10.21737169,1225
"#21357",60,1340,"control","control",15.79930474,1280
"#86203",60,1322,"control","treated",17.41756452,1262
"#71046",63,1274,"treated","treated",12.82032044,1211
"#49689",72,1332,"treated","control",10.88450906,1260
"#6788",74,1291,"control","control",19.52948233,1217
"#8785",76,1353,"treated","treated",16.47366877,1277
"#49647",76,1348,"control","control",13.13855068,1272
"#35664",76,1316,"control","treated",12.47791386,1240
"#26978",79,1365,"control","control",10.69440299,1286
"#20618",81,1310,"treated","treated",17.98541343,1229
"#8241",82,1284,"treated","treated",19.01760735,1202
"#34588",83,1344,"control","treated",14.96131561,1261
"#65618",83,1368,"treated","control",10.91844963,1285
"#99263",87,1375,"treated","control",18.94589075,1288
"#77057",90,1304,"treated","treated",15.05705404,1214
"#56034",90,1382,"treated","control",16.26979827,1292
"#30646",92,1356,"control","treated",16.15100253,1264
"#72540",97,1319,"treated","treated",10.71089291,1222
"#18601",106,1382,"control","treated",17.16612845,1276
"#46496",110,1341,"control","control",10.0741751,1231
"#35051",110,1397,"control","control",14.78970363,1287
"#85471",119,1342,"control","control",19.13227732,1223
"#14522",122,1416,"treated","treated",10.09008552,1294
"#82360",132,1397,"treated","control",16.66658091,1265
"#40976",140,1395,"control","control",19.05852277,1255
"#8200",140,1396,"control","control",12.31175515,1256
"#3354",141,1416,"treated","control",18.92671486,1275
"#28681",142,1379,"treated","control",18.72394977,1237
"#35632",143,1423,"control","control",10.65538259,1280
"#24200",149,1441,"treated","control",16.6206973,1292
"#34352",151,1447,"treated","control",17.41708329,1296
"#24900",158,1373,"control","control",13.1130833,1215
"#26015",158,1439,"control","control",17.34361623,1281
"#15336",162,1374,"treated","treated",12.78622707,1212
"#63751",162,1461,"control","treated",11.3112096,1299
"#93376",173,1392,"control","control",10.91559371,1219
"#70451",176,1466,"treated","control",17.44622515,1290
"#49277",188,1476,"control","control",15.95910467,1288
"#51246",192,1466,"treated","control",13.8178407,1274
"#92094",207,1463,"control","control",18.903624,1256
"#93769",212,1486,"control","control",11.41122044,1274
"#79923",214,1455,"control","control",14.83284081,1241
"#48939",220,1446,"treated","control",14.05686145,1226
"#60929",224,1503,"treated","control",11.48436959,1279
"#45187",227,1450,"treated","control",18.16448794,1223
"#8642",227,1452,"treated","treated",11.91984852,1225
"#27473",238,1464,"treated","control",12.0346284,1226
"#27602",243,1513,"treated","control",13.17383313,1270
